ipca,spread_pf,spread_pj,spread_tot,selic,cdi,dolar_ptax,rendimento_medio_mensal_reais,tx_informalidade_p14m_ocupadas_pct,pessoas_14mais_mil,p14m_forca_trabalho_mil,p14m_ocupadas_mil,p14m_desocupadas_mil,p14m_fora_forca_trabalho_mil,tx_foca_trabalho_p14m_pct,tx_desocupacao_p14m_pct,insolacao_total_h,precipitacao_total_mm,temp_max_media_c,umidade_media_pct,selic_lag_3,selic_lag_6,selic_lag_12,ipca_lag_3,ipca_lag_6,ipca_lag_12,tx_desocupacao_p14m_pct_lag_3,tx_desocupacao_p14m_pct_lag_6,tx_desocupacao_p14m_pct_lag_12,rendimento_medio_mensal_reais_lag_3,rendimento_medio_mensal_reais_lag_6,rendimento_medio_mensal_reais_lag_12,dolar_ptax_lag_3,dolar_ptax_lag_6,dolar_ptax_lag_12,mes,trimestre,flag_safra,inad_anterior
0.13,19.4,6.09,14.14,0.0074689999999999,0.0074689999999999,5.399485714285714,2213.0,38.1,167744.0,96267.0,81954.0,14313.0,71476.0,57.4,14.9,226.94,40.27,32.63,62.68,0.0101008571428571,0.0153556363636363,0.0220351904761904,0.89,-0.22,0.12,13.6,12.4,11.9,2213.0,2213.0,2220.0,5.1966,4.883854545454546,4.1215,9,3,0,3.3
0.23,19.68,6.3,14.4,0.0074689999999999,0.0074689999999999,5.625790476190476,2213.0,39.1,168086.0,99804.0,85669.0,14135.0,68283.0,59.4,14.2,207.57,89.92,32.91,67.79,0.008442,0.014227,0.0207899565217391,1.23,-2.06,-0.11,14.9,13.6,11.1,2213.0,2213.0,2220.0,5.280191304347826,5.32558,4.086986956521739,10,4,0,3.14
0.41,19.16,6.23,14.13,0.007469,0.007469,5.417835,2213.0,39.1,168086.0,99804.0,85669.0,14135.0,68283.0,59.4,14.2,185.89,140.55,31.66,74.1,0.0076079999999999,0.0117773,0.018985,0.78,-1.02,0.97,14.9,13.6,11.1,2213.0,2213.0,2220.0,5.461233333333333,5.643445,4.155345,11,4,0,3.06
2.04,18.97,6.86,14.29,0.007469,0.007469,5.145586363636364,2213.0,39.1,168086.0,99804.0,85669.0,14135.0,68283.0,59.4,14.2,194.57,152.67,31.7,75.63,0.0074689999999999,0.0101008571428571,0.0178112857142857,0.13,0.89,0.35,14.9,13.6,11.1,2213.0,2213.0,2220.0,5.399485714285714,5.1966,4.109590476190476,12,4,0,2.97
-0.29,19.94,8.55,15.58,0.007469,0.007469,5.356245,2273.0,39.2,168426.0,100476.0,85497.0,14979.0,67950.0,59.7,14.9,181.03,164.37,31.67,75.75,0.0074689999999999,0.008442,0.017089,0.23,1.23,0.51,14.2,14.9,12.4,2213.0,2213.0,2213.0,5.625790476190476,5.280191304347826,4.149463636363636,1,1,0,2.84
1.69,20.18,7.65,15.38,0.007469,0.007469,5.416494444444444,2273.0,39.2,168426.0,100476.0,85497.0,14979.0,67950.0,59.7,14.9,144.88,224.21,30.73,80.06,0.007469,0.0076079999999999,0.0162956666666666,0.41,0.78,-0.28,14.2,14.9,12.4,2213.0,2213.0,2213.0,5.417835,5.461233333333333,4.341011111111111,2,1,1,2.88
2.81,19.99,6.77,14.89,0.0087342173913043,0.0087342173913043,5.646147826086957,2273.0,39.2,168426.0,100476.0,85497.0,14979.0,67950.0,59.7,14.9,186.53,192.13,31.15,78.93,0.007469,0.0074689999999999,0.0153556363636363,2.04,0.13,-0.22,14.2,14.9,12.4,2213.0,2213.0,2213.0,5.145586363636364,5.399485714285714,4.883854545454546,3,1,1,2.92
0.38,19.9,7.01,14.96,0.010379,0.010379,5.562135,2273.0,40.1,168751.0,102315.0,87743.0,14572.0,66436.0,60.6,14.2,186.65,139.93,30.31,78.05,0.007469,0.0074689999999999,0.014227,-0.29,0.23,-2.06,14.9,14.2,13.6,2273.0,2213.0,2213.0,5.356245,5.625790476190476,5.32558,4,2,1,2.87
2.11,19.03,6.91,14.42,0.0128561428571428,0.0128561428571428,5.291057142857143,2273.0,40.1,168751.0,102315.0,87743.0,14572.0,66436.0,60.6,14.2,190.69,91.42,29.41,76.26,0.007469,0.007469,0.0117773,1.69,0.41,-1.02,14.9,14.2,13.6,2273.0,2213.0,2213.0,5.416494444444444,5.417835,5.643445,5,2,1,2.91
0.81,19.01,6.68,14.34,0.0146347142857142,0.0146347142857142,5.031904761904762,2273.0,40.1,168751.0,102315.0,87743.0,14572.0,66436.0,60.6,14.2,184.19,65.11,28.65,75.12,0.0087342173913043,0.007469,0.0101008571428571,2.81,2.04,0.89,14.9,14.2,13.6,2273.0,2213.0,2213.0,5.646147826086957,5.145586363636364,5.1966,6,2,0,2.97
1.68,18.73,7.4,14.49,0.016137,0.016137,5.156704545454546,2273.0,40.7,169089.0,104483.0,91265.0,13218.0,64606.0,61.8,12.7,215.97,52.78,28.93,70.11,0.010379,0.007469,0.008442,0.38,-0.29,1.23,14.2,14.9,14.9,2273.0,2273.0,2213.0,5.562135,5.356245,5.280191304347826,7,3,0,2.87
0.95,18.59,7.16,14.35,0.0194127727272727,0.0194127727272727,5.251718181818182,2273.0,40.7,169089.0,104483.0,91265.0,13218.0,64606.0,61.8,12.7,222.15,47.69,30.33,66.89,0.0128561428571428,0.007469,0.0076079999999999,2.11,1.69,0.78,14.2,14.9,14.9,2273.0,2273.0,2213.0,5.291057142857143,5.416494444444444,5.461233333333333,8,3,0,2.9
